,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
0,Diaľnica,D00001,224,M9754,2014.0,-1,Neznámy,18.97947,49.10755,2021
1,Diaľnica,R00002,119,M9605,2015.0,-1,Neznámy,19.40038,48.53786,2021
2,Diaľnica,R00002,122,M9603,2015.0,-1,Neznámy,19.40159,48.54008,2021
3,Diaľnica,D00001,126,M382,2002.0,-1,Neznámy,17.99157904,48.904433756,2021
4,Diaľnica,D00001,SO 201-20,M9932,2021.0,-1,Neznámy,18.62711,49.22647,2021
5,Diaľnica,R00002,120,M9604,2015.0,-1,Neznámy,19.40119,48.53934,2021
6,Diaľnica,D00001,SO 201-30,M9931,2021.0,-1,Neznámy,18.63235,49.22458,2021
7,Diaľnica,D00001,SO 202-00,M9933,2021.0,-1,Neznámy,18.66617,49.2117,2021
8,Diaľnica,D00002,125,M700,1991.0,-1,Neznámy,17.074977043,48.141127529,2021
9,Diaľnica,R00002,123,M9602,2015.0,-1,Neznámy,19.40532,48.53689,2021
10,Diaľnica,D00001,SO 203-00,M9934,2021.0,-1,Neznámy,18.66583,49.208,2021
11,Diaľnica,R00002,124,M9601,2015.0,-1,Neznámy,19.42078,48.53279,2021
12,Cesta III. triedy,1383,,M9799,2019.0,-1,Neznámy,17.43066,48.01658,2021
13,Diaľnica,R00002,125,M9598,2015.0,-1,Neznámy,19.44694,48.53672,2021
14,Cesta III. triedy,1382,,M9797,2019.0,-1,Neznámy,17.44439,48.0143,2021
15,Diaľnica,R00001,129,M9453,2009.0,-1,Neznámy,18.773152,48.540805,2021
16,Cesta I. triedy,16,,M4324,1000.0,-1,Neznámy,21.276014255,48.724821449,2021
17,Cesta I. triedy,16,,M5781,1000.0,-1,Neznámy,21.274162276,48.722054422,2021
18,Diaľnica,R00001,041G,M6438,1000.0,-1,Neznámy,0.0,0.0,2021
19,Diaľnica,R00001,131,M9454,2009.0,-1,Neznámy,18.800978,48.546278,2021
20,Cesta I. triedy,16,,M7432,1000.0,-1,Neznámy,21.279563168,48.705832948,2021
21,Diaľnica,R00001,132,M9455,2009.0,-1,Neznámy,18.803812,48.546611,2021
22,Diaľnica,R00001,133,M9456,2009.0,-1,Neznámy,18.810694,48.547647,2021
23,Diaľnica,D00001,SO 208-00,M9939,2021.0,-1,Neznámy,18.7067,49.18861,2021
24,Diaľnica,R00001,137,M9460,2010.0,-1,Neznámy,18.830415,48.575459,2021
25,Diaľnica,R00001,141,M9464,2010.0,-1,Neznámy,18.873013,48.584664,2021
26,Diaľnica,R00002,115,M9608,2015.0,-1,Neznámy,19.35423,48.54285,2021
27,Diaľnica,D00002,125A,M1954,1991.0,-1,Neznámy,17.075178855,48.141074346,2021
28,Diaľnica,D00001,126.1,M9624,2002.0,-1,Neznámy,17.99091,48.9037,2021
29,Diaľnica,R00002,114,M9609,2015.0,-1,Neznámy,19.34959,48.54263,2021
30,Diaľnica,D00001,297,M9786,2015.0,-1,Neznámy,20.5723,49.00392,2021
31,Diaľnica,D00004,,M9829,2019.0,-1,Neznámy,17.21994,48.10788,2021
32,Diaľnica,D00001,217.1,M9764,2015.0,-1,Neznámy,18.89398,49.13447,2021
33,Diaľnica,D00004,,M9826,2019.0,-1,Neznámy,17.21805,48.10628,2021
34,Diaľnica,D00004,51,M9390,2011.0,-1,Neznámy,17.021826,48.25037,2021
35,Diaľnica,R00002,101,M9616,2014.0,-1,Neznámy,18.80168,48.61975,2021
36,Diaľnica,D00004,52,M9394,2011.0,-1,Neznámy,17.016384,48.249841,2021
37,Diaľnica,D00004,53,M9379,2011.0,-1,Neznámy,17.012677,48.249202,2021
38,Diaľnica,R00002,103,M9615,2014.0,-1,Neznámy,18.82755,48.59199,2021
39,Diaľnica,D00001,191,M6175,2006.0,-1,Neznámy,18.562740409,49.212952759,2021
40,Diaľnica,D00004,053.1,M9386,2011.0,-1,Neznámy,17.012731,48.249077,2021
41,Diaľnica,D00004,55,M9395,2011.0,-1,Neznámy,16.997919,48.246158,2021
42,Diaľnica,R00001,142,M9465,2010.0,-1,Neznámy,18.877921,48.587211,2021
43,Diaľnica,D00001,298,M9730,2015.0,-1,Neznámy,20.57491,49.00441,2021
44,Diaľnica,R00002,106,M9699,2017.0,-1,Neznámy,19.253,48.57611,2021
45,Diaľnica,R00002,108,M9701,2017.0,-1,Neznámy,19.29601,48.57014,2021
46,Diaľnica,R00002,109,M9704,2017.0,-1,Neznámy,19.31071,48.56488,2021
47,Diaľnica,D00001,193,M7161,2006.0,-1,Neznámy,18.572613922,49.216622752,2021
48,Cesta III. triedy,2073,1,M9864,1925.0,-1,Neznámy,18.87123,49.19831,2021
49,Diaľnica,R00002,111,M9703,2017.0,-1,Neznámy,19.32486,48.548,2021
