Správca CK;Trieda CK;Èíslo CK;Evidenèné èíslo mosta;Usek;Identifikaèné èíslo mosta;Názov mosta;Rok postavenia;Zaaovacia trieda STN;Poèet otvorov;Dåka premostenia;Dåka nosnej konštrukcie;Vo¾ná šírka mosta;Šírka medzi obrubami;Plocha nosnej konštrukcie;Plocha mosta;Stavebnı stav;Druh konštrukcie;Materiál konštrukcie;Zaaite¾nos normálna;Zaaite¾nost vıhradná;Zaaite¾nos vınimoèná;Spôsob stanovenia;Predmet premostenia;LongitudeE;LatitudeN;Vlastník CK;KRAJ;OKRES;PORADIE;POKRAC;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;002;312;M5897;02_002 Most cez potok Brestovec v obci Kopèany;1966;;1;6,55;;10,5;8;;;Dobrı;dosková;prefabrikovanı elezobetón;29;64;303;pod¾a tabuliek;Vodnı tok;17.1233190600;48.7901524210;Štát;Trnavskı kraj;Skalica;3;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;003;307;M1979;02_003 Most cez Cuninskı potok medzi obcami Kopèany a Kúty;1962;;1;8;;9,5;8,5;;;Dobrı;dosková;prefabrikovanı predpätı betón;19;49;199;pod¾a tabuliek;Vodnı tok;17.0790981020;48.7572873840;Štát;Trnavskı kraj;Skalica;4;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;004;271;M6525;02_004 Most nad eleznicou Praha - Bratislava v k.ú. obce Brodské;1967;;3;40;;10;9;;;Uspokojivı;dosková;prefabrikovanı predpätı betón;26;61;178;odhadom;eleznica;17.0316752540;48.6845154420;Štát;Trnavskı kraj;Skalica;6;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;005;265;M4584;O2_005 Most cez Zelnickı potok pred obcou Kúty;1962;;1;3,7;;9,5;8,5;;;Dobrı;dosková;monolitickı elezobetón;16;42;316;pod¾a tabuliek;Vodnı tok;17.0205737210;48.6636879780;Štát;Trnavskı kraj;Senica;8;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;006;6670;M3053;02_006 Most nad dia¾nicou D2, pri obci Kúty;1980;;3;65;;13;10,5;;;Dobrı;trámová;prefabrikovanı predpätı betón;52;188;260;porovnávací vıpoèet;Cestná komunikácia;17.0016590360;48.6391202670;Štát;Trnavskı kraj;Senica;14;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;008;8719;M1055;02_008 Most cez kanál pri obci Sekule;1940;;1;4;;8,1;7,4;;;Dobrı;dosková;monolitickı elezobetón;11;31;234;pod¾a tabuliek;Kanál;16.9959041860;48.6005816350;Štát;Trnavskı kraj;Senica;17;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;007;8719;M1833;02_007 Most cez rieku Myjava za obcou Kúty;1949;;2;22,8;;11;10;;;Zlı;dosková;monolitickı elezobetón;20;50;130;porovnávací vıpoèet;Vodnı tok;16.9949705120;48.6347321180;Štát;Trnavskı kraj;Senica;17;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;009;8508;M1839;02_009 Most cez kanál v obci Moravskı Svätı Ján;1940;;1;4;;7,4;6,1;;;Dobrı;dosková;monolitickı elezobetón;11;31;234;pod¾a tabuliek;Kanál;16.9915524420;48.5893788390;Štát;Trnavskı kraj;Senica;18;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;010;216;M4986;02_010 Most cez potok Lakšár za obcou Moravskı Ján;1939;;1;12,8;;8,05;6,6;;;Dobrı;trámová;monolitickı elezobetón;17;39;112;odhadom;Vodnı tok;16.9934701250;48.5723102850;Štát;Trnavskı kraj;Senica;19;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;011;8501;M2426;02_011 Most cez potok Ambrod v k.ú. obce Moravskı Ján;1939;;1;4;;8,2;7;;;Dobrı;dosková;monolitickı elezobetón;11;31;234;pod¾a tabuliek;Vodnı tok;16.9821622310;48.5342692080;Štát;Bratislavskı kraj;Malacky;21;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;013;8502;M139;02_013 Most cez potok Rudava;1977;;1;12,9;;10,5;9,5;;;Uspokojivı;trámová;prefabrikovanı predpätı betón;37;89;258;odhadom;Vodnı tok;17.0099228870;48.4890338810;Štát;Bratislavskı kraj;Malacky;22;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;012;8502;M2128;02_012 Most cez potok za obcou Ve¾ké Leváre;1977;;1;2,1;;10,5;9,5;;;Ve¾mi dobrı;trámová;monolitickı elezobetón;21;71;504;pod¾a tabuliek;Vodnı tok;17.0030725090;48.4996817040;Štát;Bratislavskı kraj;Malacky;22;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;015;8502;M24;02_015 Most cez potok Malina v Malackách;1938;;1;9,5;;8;6;;;Uspokojivı;trámová;monolitickı elezobetón;14;31;102;odhadom;Vodnı tok;17.0122248140;48.4409331370;Štát;Bratislavskı kraj;Malacky;22;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;014;8502;M3021;02_014 Most cez kanál za obcou Ve¾ké Leváre;1977;;1;2,1;;10,3;9,5;;;Dobrı;trámová;monolitickı elezobetón;21;71;504;pod¾a tabuliek;Kanál;17.0120687910;48.4859869710;Štát;Bratislavskı kraj;Malacky;22;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;011A;8502;M6131;02_011A Most cez potok/mlynskı náhon, Ve¾ké Leváre;1975;;2;4,55;;10,5;7,8;;;Dobrı;rámová;prefabrikovanı elezobetón;21;71;504;projektovaná;;17.0030329080;48.4998792960;Štát;Bratislavskı kraj;Malacky;22;1;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;018;9133;M2290;02_018 Most cez jarok Baláka v obci Malacky;1934;;1;2,95;;7,45;7,45;;;Dobrı;dosková;monolitickı elezobetón;11;36;300;odhadom;Vodnı tok;17.0190613160;48.4126130480;Štát;Bratislavskı kraj;Malacky;1;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;019;9133;M2334;02_019 Most nad eleznicou Brno-Bratislava pri obci Plaveckı Štvrtok;1934;;3;32,6;;7,35;5,85;;;Dobrı;trámová;monolitickı elezobetón;18;42;98;;eleznica;17.0165301250;48.3984540690;Štát;Bratislavskı kraj;Malacky;1;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;020;9133;M5138;02_020 Most cez potok Hlavina;1934;;1;6;;8;7,2;;;Uspokojivı;dosková;monolitickı elezobetón;15;27;138;odhadom;Vodnı tok;17.0198965330;48.3930511600;Štát;Bratislavskı kraj;Malacky;1;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;016;9133;M65;02_016 2.Most cez potok Malina v Malackách;1934;;1;7,45;;7,65;7,65;;;Uspokojivı;trámová;monolitickı elezobetón;13;31;136;odhadom;Vodnı tok;17.0206281210;48.4251060760;Štát;Bratislavskı kraj;Malacky;1;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;021;9135;M616;02_021 Most cez potok Štum;1934;;1;4,15;;8,35;8,35;;;Dobrı;dosková;monolitickı elezobetón;13;39;168;pod¾a tabuliek;Vodnı tok;17.0169026180;48.3642027570;Štát;Bratislavskı kraj;Malacky;2;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;022;9136;M6907;02_022 Most cez potok Frikav v k. ú. obce Lozorno;1934;;1;4;;8,1;7,8;;;Dobrı;dosková;monolitickı elezobetón;17;38;219;odhadom;Vodnı tok;17.0191559830;48.3462837880;Štát;Bratislavskı kraj;Malacky;3;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;024;6671;M5555;02_024 Most nad dia¾nicou D2 v k.ú. obce Lozorno;1973;;3;59,9;;13;10,5;;;Uspokojivı;rámová;monolitickı predpätı betón;19;52;122;odhadom;Cestná komunikácia;17.0237980660;48.3268102050;Štát;Bratislavskı kraj;Malacky;7;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;026;6298;M4332;02_026 Most cez zátokové územie pred Stupavou;1927;;1;2,2;;7,85;7,65;;;Dobrı;dosková;monolitickı elezobetón;13;40;350;odhadom;Záplavové územie;17.0314045970;48.2881475310;Štát;Bratislavskı kraj;Malacky;12;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;025;6298;M5509;02_025 Most cez Lozoròanskı potok;1972;;1;5;;11,5;10,5;;;Ve¾mi dobrı;trámová;prefabrikovanı elezobetón;36;78;354;odhadom;Vodnı tok;17.0292498050;48.3180078880;Štát;Bratislavskı kraj;Malacky;12;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;029;6300;M3838;02_029 Most cez mlynskı náhon v obci Stupava;1948;;1;3;;18,2;13,3;;;Uspokojivı;dosková;monolitickı elezobetón;13;40;350;odhadom;Kanál;17.0319484160;48.2745171350;Štát;Bratislavskı kraj;Malacky;14;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;028;6300;M6110;02_028 Most cez potok v Stupave;1966;;1;5,9;;14;10;;;Ve¾mi dobrı;dosková;prefabrikovanı elezobetón;27;56;160;odhadom;Vodnı tok;17.0319123190;48.2748798540;Štát;Bratislavskı kraj;Malacky;14;4;;
Slovenská správa ciest - IVSC Bratislava;cesta I. triedy;000002;030;6917;M2550;02_030 Most cez potok v k.ú. obce Stupava;1961;;1;4;;9,65;8,55;;;Dobrı;dosková;prefabrikovanı elezobetón;18;36;239;odhadom;Vodnı tok;17.0305276290;48.2554560290;Štát;Bratislavskı kraj;Malacky;15;4;;
Magistrát hlavného mesta SR Bratislava;cesta I. triedy;000002;031;103319;M2259;;1961;;1;4,35;;10,64;10,45;;;Uspokojivı;dosková;prefabrikovanı elezobetón;31,8;88,2;156;projektovaná;Vodnı tok;17.0341005730;48.2492412500;Bratislava;Bratislavskı kraj;Bratislava IV;17;4;;
Magistrát hlavného mesta SR Bratislava;cesta I. triedy;000002;032;8072;M3446;;1961;;1;3,22;;11,22;11,22;;;Zlı;dosková;monolitickı elezobetón;16;39;210;projektovaná;Vodnı tok;17.0349210660;48.2413698360;Bratislava;Bratislavskı kraj;Bratislava IV;18;4;;
Magistrát hlavného mesta SR Bratislava;cesta I. triedy;000002;033;61257;M7099;;1946;;1;31;;14;10;;;Zlı;klenbová;monolitickı elezobetón;43,2;86,4;195,7;projektovaná;eleznica;17.0471983890;48.1890585130;Bratislava;Bratislavskı kraj;Bratislava IV;20;4;;
